iter	Passed	Remaining
302	564	1298
303	566	1296
304	567	1294
305	569	1291
306	571	1289
307	572	1286
308	574	1283
309	575	1280
310	576	1277
311	578	1274
312	579	1271
313	581	1271
314	583	1268
315	585	1266
316	586	1263
317	587	1260
318	589	1258
319	590	1255
320	592	1252
321	593	1249
322	594	1246
323	596	1245
324	598	1243
325	600	1241
326	601	1238
327	603	1236
328	604	1233
329	605	1230
330	607	1227
331	608	1224
332	609	1221
333	612	1221
334	615	1221
335	616	1218
336	617	1215
337	619	1212
338	620	1209
339	621	1206
340	622	1203
341	624	1201
342	626	1200
343	628	1198
344	630	1196
345	631	1193
346	633	1191
347	634	1189
348	636	1186
349	637	1183
350	638	1180
351	639	1178
352	641	1176
353	643	1174
354	645	1172
355	646	1169
356	648	1167
357	649	1165
358	651	1163
359	652	1160
360	654	1158
361	656	1157
362	658	1155
363	660	1153
364	661	1151
365	663	1148
366	664	1145
367	665	1143
368	667	1140
369	668	1138
370	671	1139
371	673	1137
372	675	1135
373	677	1133
374	678	1130
375	679	1128
376	681	1125
377	682	1123
378	683	1120
379	686	1119
380	687	1117
381	689	1115
382	691	1113
383	692	1110
384	693	1108
385	695	1106
386	696	1103
387	697	1100
388	699	1098
389	701	1097
390	703	1095
391	704	1093
392	706	1091
393	707	1088
394	709	1086
395	710	1083
396	711	1080
397	713	1078
398	714	1076
399	717	1076
400	720	1076
401	722	1074
402	724	1072
403	725	1070
404	726	1067
405	728	1065
406	731	1065
407	733	1064
408	735	1062
409	736	1059
410	738	1058
411	739	1055
412	741	1053
413	742	1051
414	744	1048
415	746	1047
416	748	1045
417	749	1043
418	751	1041
419	752	1039
420	753	1036
421	755	1034
422	756	1032
423	757	1029
424	761	1029
425	763	1028
426	764	1025
427	765	1023
428	767	1021
429	768	1018
430	769	1016
431	771	1014
432	773	1012
433	775	1010
434	777	1009
435	778	1007
436	779	1004
437	781	1002
438	782	1000
439	784	997
440	785	995
441	786	993
442	788	992
443	792	992
444	794	990
445	795	987
446	796	985
447	798	983
448	799	981
449	800	978
450	802	976
451	803	974
452	806	973
453	808	972
454	809	969
455	810	967
456	812	965
457	813	962
